decile,total,bads,goods,bad_rate,cum_bads,cum_goods,cum_bad_pct,cum_good_pct
1,3000,1111,1889,0.3703,1111,1889,0.5541,0.0675
2,3000,363,2637,0.121,1474,4526,0.7352,0.1617
3,3000,201,2799,0.067,1675,7325,0.8354,0.2617
4,3000,112,2888,0.0373,1787,10213,0.8913,0.3648
5,3000,79,2921,0.0263,1866,13134,0.9307,0.4692
6,3000,60,2940,0.02,1926,16074,0.9606,0.5742
7,3000,30,2970,0.01,1956,19044,0.9756,0.6803
8,3000,22,2978,0.0073,1978,22022,0.9865,0.7866
9,2989,17,2972,0.0057,1995,24994,0.995,0.8928
10,3011,10,3001,0.0033,2005,27995,1.0,1.0
